impa_code,name,description,category,quantity,unit,min_stock,location
0590977,gaa Soa sotiss,59-40 591158 59-62,General,0,pcs,0,
0590985,Handle Type,5.65 AGM6 5909 88 22.46 AGM23,General,0,pcs,0,
0591001,Electric Jet Chisels,= Electric Drills 8 cove Power _ Drill AEG BLACK & DECKER,Hand Tools,0,Per Set,0,
0591002,forSteel,110V 10.0mm ae,General,0,Per Set,0,
0591003,forSteel,110v 130mm SBE750RZ HDS55K-81,General,0,Per Set,0,
0591005,forSteel,"soos meee 750 W 550 W,",General,0,Per Set,0,
0591006,forSteel,"soos meee 750 W 550 W,",General,0,Per Set,0,
0591007,forSteel,"soos meee 750 W 550 W,",General,0,Per Set,0,
0591008,height,591009,General,0,pcs,0,
0591009,height,,General,0,pcs,0,
0591011,forSteel,220V forSteel,General,0,Per Set,0,
0591012,forSteel,220V forSteel,General,0,Per Set,0,
0591014,forSteel,"soos meee 750 W 550 W,",General,0,Per Set,0,
0591015,forSteel,"soos meee 750 W 550 W,",General,0,Per Set,0,
0591016,forSteel,"soos meee 750 W 550 W,",General,0,Per Set,0,
0591017,forSteel,"soos meee 750 W 550 W,",General,0,Per Set,0,
0591021,Electric Angle Grinders,AC 110V Single Phase AC 220V Single Phase,General,0,Per Set,0,
0591028,som fies,t10v,General,0,pcs,0,
0591031,som fies,som fies,General,0,pcs,0,
0591032,som fies,20¥ nm [aw,General,0,pcs,0,
0591041,Rubber Pads and Holder Nuts,Rubber Pad Unit Per Pe,General,0,Per Set,0,
0591044,sas setzss,59-59 §91236 59-15,General,0,pcs,0,
0591051,Specifications,AC 110V Single Phase AC 220V Single Phase,General,0,Per Set,0,
0591052,som fies,Bench Grinders cope Power Wheel AEG BLACK &DECKER,General,0,pcs,0,
0591056,som fies,Bench Grinders cope Power Wheel AEG BLACK &DECKER,General,0,pcs,0,
0591057,som fies,Bench Grinders cope Power Wheel AEG BLACK &DECKER,General,0,pcs,0,
0591061,Specifications,AC 110V Single Phase AC 220V Single Phase,General,0,Per Set,0,
0591062,soosto Soto,"59-59, 65 591250 59-16",General,0,pcs,0,
0591071,Diam.,110V,General,0,pcs,0,
0591072,soosto Soto,soos «60-06 soioer sages Saat soomra © S0-56 so-eo.es Saat,General,0,pcs,0,
0591075,Diam.,220V,General,0,pcs,0,
0591082,tors,Sheet Sanders (Orbital Sanders) cove Power paver size AEG BLACK &DECKER,Cabin & Cleaning,0,pcs,0,
0591101,Grifoede Lavabo.,Material: Chromed with Swivel Spout,Mooring & Anchoring,0,pcs,0,
0591102,Grifoede Lavabo.,Material: Chromed with Swivel Spout,Mooring & Anchoring,0,pcs,0,
0591104,soosto Soto,"soomrr «S886 sotore se.e0es setzer 5320 —sa-sr sa.e0es setzss 88.20, soos «sus so.e0.6s setzso 88.20 sas setzeo 58.20",General,0,pcs,0,
0591105,soosto Soto,"soomrr «S886 sotore se.e0es setzer 5320 —sa-sr sa.e0es setzss 88.20, soos «sus so.e0.6s setzso 88.20 sas setzeo 58.20",General,0,pcs,0,
0591106,Source Capacit (Germany U.S.A.,220V Mild Steel,General,0,pcs,0,
0591107,Source Capacit (Germany U.S.A.,220V Mid Stee!,General,0,pcs,0,
0591108,Grifoede Lavabo.,Material: Chromed with Swivel Spout,Mooring & Anchoring,0,pcs,0,
0591109,using.,une Pere Punch Die,Hand Tools,0,Per Set,0,
0591111,soosto Soto,S40 sorta © se-00. seizes ©5820,General,0,pcs,0,
0591121,Specifications,AC 110V Single Phase AC 220V Single Phase,General,0,Per Set,0,
0591123,Source Capacit (Germany U.S.A.,Hand Shears,Cutting Tools,0,pcs,0,
0591124,Source Capacit (Germany U.S.A.,Hand Shears,Cutting Tools,0,pcs,0,
0591125,Source Capacit (Germany U.S.A.,Hand Shears,Cutting Tools,0,pcs,0,
0591126,Source Capacit (Germany U.S.A.,Hand Shears,Cutting Tools,0,pcs,0,
0591131,Electric Nibblers,Moving Blade Stational Blade,Cutting Tools,0,Per Set,0,
0591136,Specifications,AC 110V Single Phase AC 220V Single Phase,General,0,Per Set,0,
0591141,Source Diam (German USA.,"110V 460 mm 4,010 W,",General,0,pcs,0,
0591142,Source Diam (German USA.,220V,General,0,pcs,0,
0591143,Electric Shears,"Spare blade for circular saw, BLADE DIAM (0.D. and I.D.)mm, 8 NUMBER OF TEETH, for MODEL =",Hand Tools,0,pcs,0,
0591144,Kees,110V (190 mm) on,General,0,pcs,0,
0591145,Kees,"220V 1,500 W, 5,300",General,0,pcs,0,
0591147,suossa Sorist suet,© sea. soltay sates sata seoser Sea. sorraz suizot 5520 S040 surtas seer seizes 880 sao seizes 020 S040. sortas seizes $520 sa. Soitas seep seizes 820,General,0,pcs,0,
0591150,Electric Tool Sets,,General,0,pcs,0,
0591151,motor Speed,AC 110V Single Phase AC 220V Single Phase,Electrical,0,Per Set,0,
0591156,Kees,© Rod Cutters,Cutting Tools,0,pcs,0,
0591157,Kees,© Rod Cutters,Cutting Tools,0,pcs,0,
0591158,gaa Soa sotiss,59-62,General,0,pcs,0,
0591172,Kees,Source Capacit (German) USA,General,0,pcs,0,
